Team,Franchise,W,ORtg,DRtg,NRtg,SRS,Pace,Offense Four Factors_eFG%,Offense Four Factors_ORB%,Offense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_TOV%,Season
San Antonio Spurs,San Antonio Spurs,63.0,107.3,99.6,7.7,6.69,88.5,0.513,26.0,13.6,74.2,13.5,2006
Detroit Pistons,Detroit Pistons,64.0,110.8,103.1,7.7,6.24,86.8,0.497,28.9,11.2,71.2,13.7,2006
Dallas Mavericks,Dallas Mavericks,60.0,111.8,105.0,6.8,5.96,87.8,0.495,31.8,13.1,72.2,13.7,2006
Phoenix Suns,Phoenix Suns,54.0,111.5,105.8,5.7,5.48,95.8,0.537,22.1,12.2,72.1,13.2,2006
Memphis Grizzlies,Memphis Grizzlies,49.0,105.9,101.6,4.3,3.74,86.3,0.496,25.8,13.9,72.0,14.7,2006
Miami Heat,Miami Heat,52.0,108.7,104.5,4.2,3.59,91.6,0.517,26.7,13.9,76.4,12.4,2006
Los Angeles Lakers,Los Angeles Lakers,45.0,108.4,105.7,2.7,2.53,90.9,0.495,28.8,13.1,73.6,13.4,2006
Cleveland Cavaliers,Cleveland Cavaliers,50.0,107.8,105.4,2.4,2.17,89.8,0.492,28.4,13.3,75.7,12.8,2006
Indiana Pacers,Indiana Pacers,41.0,104.5,102.4,2.1,1.62,89.7,0.487,27.1,14.8,72.6,13.0,2006
Washington Wizards,Washington Wizards,42.0,109.3,107.3,2.0,1.57,92.3,0.484,29.5,12.8,70.9,15.1,2006
Sacramento Kings,Sacramento Kings,44.0,106.7,105.0,1.7,1.61,91.9,0.492,25.4,13.9,72.2,13.7,2006
Los Angeles Clippers,Los Angeles Clippers,47.0,105.3,103.6,1.7,1.75,91.7,0.487,25.4,13.8,75.9,12.2,2006
New Jersey Nets,Brooklyn Nets,49.0,103.9,102.4,1.5,1.11,89.8,0.478,24.0,13.3,76.3,14.0,2006
Chicago Bulls,Chicago Bulls,41.0,104.0,103.4,0.6,0.51,92.9,0.487,26.3,13.9,74.7,13.9,2006
Denver Nuggets,Denver Nuggets,44.0,105.5,105.2,0.3,0.36,93.9,0.488,26.8,13.7,72.0,14.7,2006
Milwaukee Bucks,Milwaukee Bucks,40.0,106.3,107.4,-1.1,-1.07,91.2,0.492,27.3,13.8,74.6,13.8,2006
Orlando Magic,Orlando Magic,36.0,106.3,107.5,-1.2,-1.26,88.3,0.496,28.5,14.7,72.5,13.0,2006
Golden State Warriors,Golden State Warriors,34.0,104.8,106.2,-1.4,-1.11,93.3,0.479,26.9,13.0,71.6,14.1,2006
Houston Rockets,Houston Rockets,34.0,101.6,103.3,-1.7,-1.3,88.0,0.471,25.5,14.3,74.6,13.1,2006
Boston Celtics,Boston Celtics,33.0,105.2,106.9,-1.7,-1.59,92.2,0.504,25.5,15.7,72.8,13.8,2006
Minnesota Timberwolves,Minnesota Timberwolves,33.0,102.4,104.5,-2.1,-1.75,88.8,0.48,25.2,14.2,71.3,13.4,2006
Philadelphia 76ers,Philadelphia 76ers,38.0,106.0,108.1,-2.1,-2.1,92.7,0.487,25.6,13.3,71.3,14.3,2006
Utah Jazz,Utah Jazz,41.0,104.1,107.0,-2.9,-2.49,87.8,0.467,32.4,15.0,73.2,14.0,2006
New Orleans/Oklahoma City Hornets,New Orleans Pelicans,38.0,103.7,106.8,-3.1,-2.51,89.0,0.464,26.9,12.9,73.4,14.3,2006
Toronto Raptors,Toronto Raptors,27.0,109.5,112.7,-3.2,-3.03,91.1,0.5,25.4,12.4,73.3,13.5,2006
Seattle SuperSonics,Oklahoma City Thunder,35.0,111.1,114.4,-3.3,-2.88,91.6,0.504,30.4,13.7,69.0,13.6,2006
Charlotte Bobcats,Charlotte Hornets,26.0,102.5,106.7,-4.2,-3.9,93.4,0.464,27.1,13.0,70.7,16.5,2006
Atlanta Hawks,Atlanta Hawks,26.0,106.4,111.6,-5.2,-4.69,90.4,0.486,31.4,14.7,69.5,14.1,2006
New York Knicks,New York Knicks,23.0,104.0,111.0,-7.0,-6.3,90.8,0.481,31.2,16.5,72.8,13.4,2006
Portland Trail Blazers,Portland Trail Blazers,21.0,101.1,111.9,-10.8,-8.91,87.6,0.474,26.6,14.5,68.2,12.6,2006
San Antonio Spurs,San Antonio Spurs,58.0,109.2,99.9,9.3,8.35,89.8,0.521,24.2,13.6,75.7,14.0,2007
Dallas Mavericks,Dallas Mavericks,67.0,111.3,103.2,8.1,7.28,89.5,0.509,28.7,13.4,75.0,14.2,2007
Phoenix Suns,Phoenix Suns,61.0,113.9,106.4,7.5,7.28,95.6,0.551,22.7,13.4,71.9,13.6,2007
Chicago Bulls,Chicago Bulls,49.0,104.9,99.6,5.3,4.52,93.6,0.493,28.6,14.7,74.3,16.2,2007
Houston Rockets,Houston Rockets,52.0,106.0,100.7,5.3,5.04,90.7,0.499,25.7,13.6,77.0,13.6,2007
Detroit Pistons,Detroit Pistons,53.0,108.9,104.2,4.7,3.69,87.3,0.488,28.3,12.0,70.9,14.3,2007
Cleveland Cavaliers,Cleveland Cavaliers,50.0,105.5,101.3,4.2,3.33,90.8,0.484,29.7,13.4,75.8,14.7,2007
Utah Jazz,Utah Jazz,51.0,110.1,107.0,3.1,3.06,91.6,0.502,31.7,14.5,75.1,14.4,2007
Denver Nuggets,Denver Nuggets,45.0,107.6,105.9,1.7,1.69,97.4,0.501,28.9,14.6,71.8,14.5,2007
Toronto Raptors,Toronto Raptors,47.0,107.0,106.0,1.0,0.61,92.6,0.504,22.2,13.0,74.5,14.3,2007
Orlando Magic,Orlando Magic,40.0,104.9,104.1,0.8,0.35,89.9,0.5,29.3,16.3,73.7,14.6,2007
Los Angeles Lakers,Los Angeles Lakers,42.0,108.6,108.6,0.0,0.24,93.5,0.511,26.1,14.3,72.3,13.5,2007
Golden State Warriors,Golden State Warriors,42.0,107.0,107.4,-0.4,0.0,99.2,0.512,25.6,14.1,69.6,16.1,2007
Washington Wizards,Washington Wizards,41.0,110.1,110.6,-0.5,-0.8,94.1,0.491,28.1,12.6,71.0,14.4,2007
Los Angeles Clippers,Los Angeles Clippers,40.0,105.1,105.6,-0.5,-0.07,90.8,0.481,27.2,14.5,74.7,13.3,2007
New Jersey Nets,Brooklyn Nets,41.0,105.7,106.6,-0.9,-1.0,91.4,0.504,24.6,14.2,74.4,13.7,2007
Miami Heat,Miami Heat,44.0,104.3,105.3,-1.0,-1.21,89.9,0.506,24.9,14.3,73.3,13.8,2007
New Orleans/Oklahoma City Hornets,New Orleans Pelicans,39.0,104.8,106.5,-1.7,-1.19,90.2,0.479,29.1,13.6,74.7,13.2,2007
Sacramento Kings,Sacramento Kings,33.0,106.2,108.0,-1.8,-1.35,94.8,0.491,23.1,13.5,72.5,14.9,2007
Indiana Pacers,Indiana Pacers,35.0,102.9,105.5,-2.6,-2.62,92.4,0.474,28.4,15.1,72.7,14.8,2007
Seattle SuperSonics,Oklahoma City Thunder,31.0,107.2,110.3,-3.1,-2.45,91.8,0.499,27.8,14.5,70.9,14.1,2007
New York Knicks,New York Knicks,33.0,105.7,108.8,-3.1,-3.06,90.8,0.494,31.0,15.9,74.0,13.0,2007
Philadelphia 76ers,Philadelphia 76ers,35.0,103.6,106.9,-3.3,-3.26,90.7,0.48,27.2,14.6,70.8,14.7,2007
Boston Celtics,Boston Celtics,24.0,103.2,106.9,-3.7,-3.7,92.0,0.479,27.0,15.4,73.8,14.5,2007
Minnesota Timberwolves,Minnesota Timberwolves,32.0,103.9,107.9,-4.0,-3.16,91.0,0.49,25.1,14.8,72.1,13.3,2007
Charlotte Bobcats,Charlotte Hornets,33.0,103.6,107.6,-4.0,-3.97,92.0,0.48,26.4,13.9,71.6,14.7,2007
Milwaukee Bucks,Milwaukee Bucks,28.0,107.0,111.7,-4.7,-4.43,92.3,0.504,27.6,14.1,68.1,14.5,2007
Portland Trail Blazers,Portland Trail Blazers,32.0,105.1,109.9,-4.8,-3.78,88.3,0.483,28.2,14.5,73.0,13.5,2007
Atlanta Hawks,Atlanta Hawks,30.0,103.0,108.3,-5.3,-4.86,90.0,0.471,29.2,15.1,70.9,14.5,2007
Memphis Grizzlies,Memphis Grizzlies,22.0,106.9,112.3,-5.4,-4.44,93.6,0.504,25.9,15.2,71.1,14.0,2007
Boston Celtics,Boston Celtics,66.0,110.2,98.9,11.3,9.3,90.9,0.522,26.6,14.7,74.4,15.2,2008
Detroit Pistons,Detroit Pistons,59.0,111.4,102.9,8.5,6.67,87.3,0.495,29.4,11.4,73.7,13.4,2008
Los Angeles Lakers,Los Angeles Lakers,57.0,113.0,105.5,7.5,7.34,95.6,0.525,26.3,12.9,73.4,12.9,2008
Utah Jazz,Utah Jazz,54.0,113.8,106.5,7.3,6.86,93.2,0.528,29.5,13.6,74.1,15.0,2008
Orlando Magic,Orlando Magic,52.0,111.3,105.5,5.8,4.79,93.4,0.537,23.4,13.6,74.8,12.3,2008
New Orleans Hornets,New Orleans Pelicans,56.0,111.5,105.7,5.8,5.46,89.9,0.512,27.0,11.4,75.4,13.5,2008
San Antonio Spurs,San Antonio Spurs,56.0,107.2,101.8,5.4,5.1,88.8,0.504,23.4,12.6,77.1,12.8,2008
Houston Rockets,Houston Rockets,55.0,106.8,101.6,5.2,4.83,90.4,0.492,29.1,13.0,74.8,12.8,2008
Phoenix Suns,Phoenix Suns,55.0,113.3,108.1,5.2,5.14,96.7,0.551,22.4,13.4,70.9,11.8,2008
Dallas Mavericks,Dallas Mavericks,51.0,111.1,106.1,5.0,4.7,90.2,0.502,26.7,12.3,75.0,11.7,2008
Denver Nuggets,Denver Nuggets,50.0,110.0,106.3,3.7,3.74,99.7,0.51,25.5,12.9,72.1,14.1,2008
Toronto Raptors,Toronto Raptors,41.0,110.2,107.0,3.2,2.47,90.2,0.511,23.4,11.4,75.0,13.5,2008
Golden State Warriors,Golden State Warriors,48.0,111.8,109.5,2.3,2.38,98.8,0.511,27.2,11.5,70.3,14.7,2008
Philadelphia 76ers,Philadelphia 76ers,40.0,106.4,106.0,0.4,0.19,90.4,0.482,31.8,13.4,72.0,15.1,2008
Washington Wizards,Washington Wizards,43.0,109.2,109.6,-0.4,-0.61,89.5,0.489,28.9,12.5,72.8,13.5,2008
Cleveland Cavaliers,Cleveland Cavaliers,45.0,106.0,106.4,-0.4,-0.53,90.2,0.48,30.4,13.1,75.9,12.9,2008
Portland Trail Blazers,Portland Trail Blazers,41.0,107.3,108.4,-1.1,-0.52,87.9,0.489,26.8,12.6,71.8,12.1,2008
Indiana Pacers,Indiana Pacers,36.0,106.0,107.5,-1.5,-1.87,97.7,0.498,24.4,13.5,73.9,14.1,2008
Atlanta Hawks,Atlanta Hawks,37.0,106.9,108.9,-2.0,-2.23,91.1,0.483,29.7,14.0,71.7,12.9,2008
Sacramento Kings,Sacramento Kings,38.0,107.5,109.9,-2.4,-1.86,94.7,0.503,25.2,14.8,71.7,13.9,2008
Chicago Bulls,Chicago Bulls,33.0,103.9,107.2,-3.3,-3.19,93.0,0.47,28.9,13.4,73.1,14.2,2008
Charlotte Bobcats,Charlotte Hornets,32.0,104.6,109.4,-4.8,-4.49,91.8,0.492,25.6,13.9,71.0,13.4,2008
New Jersey Nets,Brooklyn Nets,34.0,104.0,109.4,-5.4,-5.15,91.5,0.481,26.6,14.2,73.8,12.7,2008
Memphis Grizzlies,Memphis Grizzlies,22.0,105.0,111.4,-6.4,-5.76,95.3,0.5,23.8,14.0,73.4,12.2,2008
New York Knicks,New York Knicks,23.0,104.7,111.9,-7.2,-6.55,91.6,0.475,28.6,13.4,72.7,12.1,2008
Minnesota Timberwolves,Minnesota Timberwolves,22.0,103.8,111.2,-7.4,-6.26,91.9,0.484,27.5,13.6,73.6,12.9,2008
Milwaukee Bucks,Milwaukee Bucks,26.0,105.3,112.8,-7.5,-6.92,91.3,0.482,30.0,13.7,73.0,13.0,2008
Los Angeles Clippers,Los Angeles Clippers,23.0,101.2,109.1,-7.9,-6.56,92.1,0.465,23.1,13.7,73.1,12.8,2008
Seattle SuperSonics,Oklahoma City Thunder,20.0,100.5,109.5,-9.0,-8.04,96.3,0.467,26.8,14.3,73.7,11.9,2008
Miami Heat,Miami Heat,15.0,100.5,110.0,-9.5,-8.53,90.2,0.482,22.1,14.4,71.9,13.6,2008
