Team,Season,Playoff_Wins,Playoff_Losses,Round_Reached,Finals_Appearance,Championship,Franchise
Miami Heat,2006,16,7,4,1,1,Miami Heat
Dallas Mavericks,2006,14,9,4,1,0,Dallas Mavericks
Detroit Pistons,2006,10,8,3,0,0,Detroit Pistons
Phoenix Suns,2006,10,10,3,0,0,Phoenix Suns
Cleveland Cavaliers,2006,7,6,2,0,0,Cleveland Cavaliers
New Jersey Nets,2006,5,6,2,0,0,Brooklyn Nets
San Antonio Spurs,2006,7,6,2,0,0,San Antonio Spurs
Los Angeles Clippers,2006,7,5,2,0,0,Los Angeles Clippers
Washington Wizards,2006,2,4,1,0,0,Washington Wizards
Milwaukee Bucks,2006,1,4,1,0,0,Milwaukee Bucks
Chicago Bulls,2006,2,4,1,0,0,Chicago Bulls
Indiana Pacers,2006,2,4,1,0,0,Indiana Pacers
Memphis Grizzlies,2006,0,4,1,0,0,Memphis Grizzlies
Denver Nuggets,2006,1,4,1,0,0,Denver Nuggets
Los Angeles Lakers,2006,3,4,1,0,0,Los Angeles Lakers
Sacramento Kings,2006,2,4,1,0,0,Sacramento Kings
San Antonio Spurs,2007,16,4,4,1,1,San Antonio Spurs
Cleveland Cavaliers,2007,12,8,4,1,0,Cleveland Cavaliers
Detroit Pistons,2007,10,6,3,0,0,Detroit Pistons
Utah Jazz,2007,9,8,3,0,0,Utah Jazz
New Jersey Nets,2007,6,6,2,0,0,Brooklyn Nets
Chicago Bulls,2007,6,4,2,0,0,Chicago Bulls
Phoenix Suns,2007,6,5,2,0,0,Phoenix Suns
Golden State Warriors,2007,5,6,2,0,0,Golden State Warriors
Miami Heat,2007,0,4,1,0,0,Miami Heat
Washington Wizards,2007,0,4,1,0,0,Washington Wizards
Orlando Magic,2007,0,4,1,0,0,Orlando Magic
Toronto Raptors,2007,2,4,1,0,0,Toronto Raptors
Dallas Mavericks,2007,2,4,1,0,0,Dallas Mavericks
Los Angeles Lakers,2007,1,4,1,0,0,Los Angeles Lakers
Denver Nuggets,2007,1,4,1,0,0,Denver Nuggets
